
Nome,Diário,Semana,Mês,YTD,1 ano,3 anos
Sao Martinho ON,0.00%,2.77%,-4.65%,8.59%,99.00%,73.74%
Ser Educacional ON,0.00%,12.26%,10.06%,-17.35%,-8.45%,-32.02%
Simpar ON,0.00%,4.66%,3.38%,5.19%,194.65%,497.92%
Sinqia ON,0.00%,-1.67%,7.24%,-4.81%,49.13%,226.09%
SLC Agricola ON,0.00%,10.12%,9.12%,70.38%,137.46%,201.94%
Smiles ON,0.00%,-13.71%,5.11%,-8.74%,103.76%,-63.62%
TAEE UNIT,0.00%,4.96%,16.23%,13.68%,53.38%,111.16%
Taurus Armas PN,0.00%,-4.45%,5.54%,40.06%,456.67%,905.09%
Tecnisa ON,0.00%,-0.68%,-4.44%,-26.83%,12.46%,-50.27%
Tegma ON,0.00%,5.47%,-8.04%,-29.18%,18.86%,-14.20%
Tenda ON,0.00%,-2.10%,2.27%,-14.87%,32.61%,110.83%
Trisul ON,0.00%,0.31%,4.74%,-20.57%,66.57%,251.26%
Tupy ON,0.00%,0.64%,-11.22%,-2.24%,79.82%,34.96%
Unipar PNB,0.00%,5.49%,33.04%,36.55%,211.57%,234.45%
Usiminas PNA,0.00%,0.18%,-1.19%,13.69%,310.90%,60.17%
Valid ON,0.00%,8.64%,23.06%,-2.24%,20.63%,-46.19%
Vivara,0.00%,1.56%,9.66%,-18.30%,72.54%,-
Vulcabras ON,0.00%,-2.05%,-2.58%,-10.14%,97.80%,-24.34%
Wiz ON,0.00%,7.16%,-0.55%,-10.70%,-15.83%,-31.49%
YDUQS Participacoes,0.00%,-1.66%,-3.76%,-19.08%,29.06%,-15.54%
