Nome,Diário,Semana,Mês,YTD,1 ano,3 anos,
Fundo de Invest Ishares SP 500,-1.81%,-2.32%,-1.56%,16.17%,44.55%,151.03%,
It Now SP500 TRN,-1.84%,-2.39%,-1.64%,16.11%,43.90%,149.40%,
It Now IMAT,-0.69%,2.35%,13.68%,32.59%,151.65%,121.64%,
