Nome,Diário,Semana,Mês,YTD,1 ano,3 anos,
Locamerica ON,0.00%,6.46%,-1.05%,-16.24%,158.42%,145.25%,
COCOS/USD,-9.24%,-12.69%,45.79%,543.517.86%,528.477.06%,-,
Binance Coin,-3.86%,20.95%,44.13%,771.03%,2.276.24%,2.503.93%,
Cardano,-1.74%,-1.68%,0.97%,544.78%,3.567.29%,687.93%,
Procter Gamble BDR,0.00%,-0.74%,7.12%,7.09%,-90.92%,-78.05%,
Procter&Gamble,-0.85%,-0.86%,6.59%,-3.49%,16.68%,70.41%,
Facebook,1.40%,5.53%,13.01%,9.34%,93.71%,87.44%,
Netflix,3.40%,6.17%,4.46%,-0.24%,49.11%,83.49%,
Uber Tech,5.67%,5.28%,3.71%,12.94%,152.41%,-,
Marfrig ON,0.00%,6.18%,19.29%,23.16%,107.31%,185.92%,
Uber Technologies,0.00%,3.45%,2.15%,17.12%,164.97%,-,
Gerdau ON,0.00%,2.93%,6.04%,17.75%,187.71%,81.05%,
JHSF Part ON,3.17%,1.34%,-0.58%,-12.55%,126.91%,364.63%,
Netflix BDR,0.00%,5.73%,4.66%,12.49%,60.73%,214.23%,
Facebook BDR,0.00%,5.00%,13.19%,19.61%,-84.83%,-76.89%,
Magazine Luiza ON,0.00%,2.30%,-18.66%,-18.08%,130.55%,570.16%,
Weg ON,0.00%,3.19%,2.77%,-0.90%,129.06%,352.88%,
SULAMÉRICA FIX 100 III FUNDO DE INVESTIMENTO EM CO,-0.01%,0.03%,-0.13%,0.36%,0.38%,-,
SELECTION LONG BIASED FUNDO DE INVESTIMENTO EM COT,0.26%,1.22%,0.13%,-1.51%,54.73%,46.37%,
SULAMÉRICA PRESTIGE INFLATIE I FDO INVESTIMENTO EM,0.22%,0.47%,-2.35%,-3.01%,11.73%,-,
CHZ/USD,-8.09%,-14.69%,310.88%,2.052.82%,6.990.38%,-,
